,origin_layer,origin_index,target_index,value
0,0,0,0,-0.6616527940769465
1,0,0,1,2.1268014556482404
2,0,0,2,-0.7557868145464567
3,0,0,3,-0.3058389751769391
4,0,0,4,-1.0025382589467788
5,0,0,5,0.662825874972713
6,0,0,6,0.5084098634424845
7,0,0,7,-0.07866070387950133
8,0,0,8,0.718178165021106
9,0,0,9,1.8375322125556275
10,0,0,10,-0.0036115506683167264
11,0,0,11,-1.0040925016278706
12,0,0,12,1.348144380252957
13,0,0,13,0.03609169958528714
14,0,0,14,-0.7536898328940642
15,0,0,15,0.265227909432405
16,0,0,16,0.2503680425147582
17,0,0,17,0.18946440586350838
18,0,0,18,-0.4634351992400055
19,0,0,19,0.7766304374149365
20,0,0,20,-1.4692055020708625
21,0,0,21,-0.39973303814340294
22,0,0,22,0.18998075195590097
23,0,0,23,0.9701047921873515
24,0,0,24,1.332411963488527
25,0,0,25,-1.4293911052856554
26,0,0,26,-0.19443667580245222
27,0,0,27,0.3733295771075674
28,0,0,28,-1.4045845089718905
29,0,0,29,-0.12409630104687841
30,0,0,30,1.3986277644270355
31,0,0,31,1.654682937605898
32,0,0,32,1.7628241188188345
33,0,0,33,0.9825585219231749
34,0,0,34,-1.2962832406134615
35,0,0,35,1.09798956634302
36,0,0,36,-0.4738789649742198
37,0,0,37,-0.9864926746767504
38,0,0,38,-0.6679414364218933
39,0,0,39,-0.5300797735874841
40,0,0,40,1.895661669725492
41,0,0,41,-0.6175763603712487
42,0,0,42,1.2557231255457642
43,0,0,43,-2.6976214857907603
44,0,0,44,-1.8209990481016698
45,0,0,45,-0.808953828137232
46,0,0,46,-0.8371927456686876
47,0,0,47,1.630469467334376
48,0,0,48,-0.37150287476815524
49,0,0,49,1.1980692841129983
50,0,0,50,-0.6878567521476683
51,0,0,51,0.3331564270172132
52,0,0,52,-1.658173790693068
53,0,0,53,0.8002396894723802
54,0,0,54,-0.43821965516583156
55,0,0,55,-0.44076594208360537
56,0,0,56,-0.036575859103955416
57,0,0,57,-0.3242195400109714
58,0,0,58,0.23957973587702291
59,0,0,59,-0.9106139188803565
60,0,0,60,-2.3574558187724493
61,0,0,61,-0.967518626373201
62,0,0,62,-0.10885779422722276
63,0,0,63,-1.383964890978469
64,0,0,64,-0.3356735998099918
65,0,0,65,0.06793402304192861
66,0,0,66,-0.6439021780594735
67,0,0,67,0.3450061518178799
68,0,0,68,-0.5078988723189088
69,0,0,69,0.17167124901530934
70,0,0,70,0.8030604824103488
71,0,0,71,0.34347644512773606
72,0,0,72,-1.2713845146086105
73,0,0,73,0.5625543439053627
74,0,0,74,-0.8837061499494709
75,0,0,75,0.7344887653399194
76,0,0,76,2.486165524859518
77,0,0,77,-0.8288262858568054
78,0,0,78,0.07797064995183989
79,0,0,79,0.6436199033385454
80,0,0,80,0.35293713109914027
81,0,0,81,-0.5039971342481461
82,0,0,82,-1.6475508150466835
83,0,0,83,1.4595430370924478
84,0,0,84,0.11440407954764727
85,0,0,85,-0.4905785825372852
86,0,0,86,0.822075420692027
87,0,0,87,-0.08042012095119613
88,0,0,88,-0.08153407218070027
89,0,0,89,0.0882811448754128
90,0,0,90,0.08966397515624633
91,0,0,91,-1.4702326352692658
92,0,0,92,-0.21169961164827616
93,0,0,93,-1.2921463037351668
94,0,0,94,-1.7928260142549521
95,0,0,95,-0.6187972207124033
96,0,0,96,0.9240633570943537
97,0,0,97,-0.2178348481789088
98,0,0,98,-0.11528273003899189
99,0,0,99,-0.8117029839212316
100,0,0,100,0.9178935271172916
101,0,0,101,2.8580340621027553
102,0,0,102,-0.68423923121311
103,0,0,103,0.2573109562404715
104,0,0,104,-1.7336083634247255
105,0,0,105,-0.18285543657775472
106,0,0,106,-1.2374506771565594
107,0,0,107,0.5957292565209442
108,0,0,108,-1.3790813599204126
109,0,0,109,0.32075657043266276
110,0,0,110,0.3382890510412282
111,0,0,111,1.3416165106469644
112,0,0,112,1.4416475969472913
113,0,0,113,-1.3550977358985192
114,0,0,114,1.4374066206019904
115,0,0,115,1.3937459065830056
116,0,0,116,-0.34268474610634775
117,0,0,117,-3.581444566190103
118,0,0,118,-0.655951544612882
119,0,0,119,-1.7109668155366997
120,0,0,120,0.149074299519168
121,0,0,121,0.5533963649480158
122,0,0,122,0.3267440925710031
123,0,0,123,-0.9404104929624386
124,0,0,124,0.6073016907002609
125,0,0,125,-3.766633995836357
126,0,0,126,1.2199283564275858
127,0,0,127,0.459007021834162
128,0,0,128,0.3896627965526003
129,0,0,129,0.6969003776666114
130,0,0,130,-1.2968078575889024
131,0,0,131,-0.19888462994138945
132,0,0,132,2.7515280423351545
133,0,0,133,0.8937269136014002
134,0,0,134,-0.9256639528732282
135,0,0,135,-0.4173309172186935
136,0,0,136,-1.2329284232078077
137,0,0,137,0.20800657235994677
138,0,0,138,-0.044561661390489685
139,0,0,139,1.1890113775841398
140,0,0,140,1.41159077061356
141,0,0,141,0.8122523084416647
142,0,0,142,0.45722872035455464
143,0,0,143,0.7563577227661463
144,0,0,144,0.7797554157903154
145,0,0,145,1.1993570135137617
146,0,0,146,0.9538841241942825
147,0,0,147,1.3108238457771066
148,0,0,148,2.517365590819455
149,0,0,149,0.8381886396893432
150,0,0,150,0.09610046065751857
151,0,0,151,0.6480683421118415
152,0,0,152,0.29394908636798106
153,0,0,153,0.07897994759789013
154,0,0,154,0.9258160002268069
155,0,0,155,1.311409899599972
156,0,0,156,1.2646665757119788
157,0,0,157,-0.06408581507436481
158,0,0,158,0.874547279885611
159,0,0,159,0.1742194377375112
160,0,0,160,-1.031115531603801
161,0,0,161,0.12434850721240047
162,0,0,162,-0.026678293121001298
163,0,0,163,-0.9849233186839327
164,0,0,164,-0.3351714383053665
165,0,0,165,0.3153332727734862
166,0,0,166,-0.2463133736754547
167,0,0,167,1.570514325695551
168,0,0,168,-0.2180149032997164
169,0,0,169,-0.40263047781736966
170,0,0,170,-0.4418839893757177
171,0,0,171,0.434598344527565
172,0,0,172,0.7758861849518113
173,0,0,173,1.651266872180963
174,0,0,174,-0.7030195553050955
175,0,0,175,-0.5970205230766377
176,0,0,176,-0.01958161195210166
177,0,0,177,-0.4077693060266139
178,0,0,178,-0.020311285540493315
179,0,0,179,0.6508866443293578
180,0,0,180,-0.481073283731056
181,0,0,181,-0.09976138182867766
182,0,0,182,0.8594007742131102
